CONUM,County Name [District] 2017-18,Agency Name,State Name [District] Latest available year,Limited English Proficient (LEP) / English Language Learners (ELL) [District] 2017-18,Individualized Education Program Students [District] 2017-18,Direct Certification [Public School] 2017-18,Free Lunch Eligible [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2017-18,Grades 1-8 Students [District] 2017-18,Grades 9-12 Students [District] 2017-18,Female Students [District] 2017-18,Male Students [District] 2017-18,Male Students [Public School] 2017-18,Female Students [Public School] 2017-18,American Indian/Alaska Native Students [District] 2017-18,Asian or Asian/Pacific Islander Students [District] 2017-18,Hispanic Students [District] 2017-18,Black Students [District] 2017-18,White Students [District] 2017-18,Hawaiian Nat./Pacific Isl. Students [District] 2017-18,Two or More Races Students [District] 2017-18,Total Race/Ethnicity [District] 2017-18,Asian or Asian/Pacific Islander Students [Public School] 2017-18,American Indian/Alaska Native Students [Public School] 2017-18,Hispanic Students [Public School] 2017-18,Black Students [Public School] 2017-18,White Students [Public School] 2017-18,Hawaiian Nat./Pacific Isl. Students [Public School] 2017-18,Two or More Races Students [Public School] 2017-18,Total Race/Ethnicity [Public School] 2017-18,State Name [District] 2017-18,Agency Name [District] 2017-18,Agency ID - NCES Assigned [District] Latest available year,Lowest Grade Offered [District] 2017-18,Highest Grade Offered [District] 2017-18,Agency Type [District] 2017-18,School District Level Code (SCHLEV) [District Finance] 2017-18,Full-Time Equivalent (FTE) Teachers [District] 2017-18,Full-Time Equivalent (FTE) Teachers [Public School] 2017-18,Pupil/Teacher Ratio [District] 2017-18,Pupil/Teacher Ratio [Public School] 2017-18,Total Staff [District] 2017-18,Instructional Aides [District] 2017-18,Instructional Coordinators [District] 2017-18,Elementary Guidance Counselors [District] 2017-18,Secondary Guidance Counselors [District] 2017-18,Other Guidance Counselors [District] 2017-18,Total Guidance Counselors [District] 2017-18,Librarians/Media Specialists [District] 2017-18,Library Media Support Staff [District] 2017-18,LEA Administrators [District] 2017-18,LEA Administrative Support Staff [District] 2017-18,School Administrators [District] 2017-18,School Administrative Support Staff [District] 2017-18,Student Support Services Staff [District] 2017-18,Other Support Services Staff [District] 2017-18,"Total Students, All Grades (Excludes AE) [District] 2017-18","Total Students, All Grades (Excludes AE) [Public School] 2017-18"
13077,Coweta County,COMMISSION CHARTER SCHOOLS- COWETA CHARTER ACADEMY,Georgia,3,70,26,101,30,131,621,NA,368,356,356,368,4,9,18,105,541,7,40,724,9,4,18,105,541,7,40,724,GEORGIA,Commission Charter Schools- Coweta Charter Academy,1300222,Kindergarten,8th Grade,7-Independent Charter District,01-Elementary school system only,49,49,14.78,14.78,77,10,2,0,0,0,0,0,0,1.5,1,1.5,2,1,9,724,724
13121,Fulton County,COMMISSION CHARTER SCHOOLS- FULTON LEADERSHIP ACADEMY,Georgia,miss,50,91,173,42,215,247,107,0,354,354,0,1,1,7,345,0,0,0,354,1,1,7,345,0,0,0,354,GEORGIA,Commission Charter Schools- Fulton Leadership Academy,1300217,6th Grade,12th Grade,7-Independent Charter District,03-Elementary/secondary school system,29.9,29.9,11.84,11.84,48,2.1,0,0,0.5,0,0.5,0,0,3.6,3,0.9,2.8,1.2,4,354,354
13135,Gwinnett County,COMMISSION CHARTER SCHOOLS- IVY PREPARATORY ACADEMY SCHOOL,Georgia,3,10,14,40,7,47,106,NA,106,0,0,106,1,3,21,79,1,0,1,106,3,1,21,79,1,0,1,106,GEORGIA,Commission Charter Schools- Ivy Preparatory Academy School,1300215,6th Grade,8th Grade,7-Independent Charter District,01-Elementary school system only,11,11,9.64,9.64,28.9,0,2,0,1,0,1,0,0,3.5,1.5,1,1.5,2.4,5,106,106
13113,Fayette County,COMMISSION CHARTER SCHOOLS- LIBERTY TECH CHARTER ACADEMY,GEORGIA,miss,34,3,58,10,68,376,NA,223,192,192,223,0,6,27,111,258,1,12,415,6,0,27,111,258,1,12,415,GEORGIA,Commission Charter Schools- Liberty Tech Charter Academy,1300241,Kindergarten,8th Grade,7-Independent Charter District,01-Elementary school system only,30.2,30.2,13.74,13.74,44.1,4,0.8,0.5,0.5,0,1,0,0,1.4,0,1.6,2.3,0.3,2.5,415,415
13037,Calhoun County,COMMISSION CHARTER SCHOOLS- PATAULA CHARTER ACADEMY,Georgia,4,50,3,306,51,357,350,161,271,284,284,271,0,11,28,117,386,0,13,555,11,0,28,117,386,0,13,555,GEORGIA,Commission Charter Schools- Pataula Charter Academy,1300218,Kindergarten,12th Grade,7-Independent Charter District,03-Elementary/secondary school system,34.6,34.6,16.04,16.04,72.1,11,2.5,0,0,0,0,1,0,4,0,1,3,0,15,555,555
13243,Randolph County,COMMISSION CHARTER SCHOOLS- SOUTHWEST GEORGIA S.T.E.M. CHART,GEORGIA,3,23,84,111,24,135,161,NA,112,91,91,112,0,0,17,29,154,0,3,203,0,0,17,29,154,0,3,203,GEORGIA,Commission Charter Schools- Southwest Georgia S.T.E.M. Chart,1300243,Prekindergarten,7th Grade,7-Independent Charter District,01-Elementary school system only,13.8,13.8,14.71,14.71,27.1,3.6,1,0.1,0.1,0,0.2,0,0,1.2,0,1.2,1,0,5.1,203,203
13075,Cook County,COOK COUNTY,Georgia,123,413,1311,2525,56,2581,1928,909,1563,1646,1646,1563,4,41,321,1063,1672,3,105,3209,41,4,321,1063,1672,3,105,3209,GEORGIA,Cook County,1301470,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,217.5,217.5,14.75,14.75,464.4,52.9,1.2,2,2.9,0,4.9,4,2,8.7,4.2,9,20.7,23.5,115.8,3209,3209
13077,Coweta County,COWETA COUNTY,Georgia,505,2383,4867,7824,1492,9316,13402,7241,11165,11645,11645,11165,89,483,2253,5152,13836,10,987,22810,483,89,2253,5152,13836,10,987,22810,GEORGIA,Coweta County,1301500,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,1463.7,1422.8,15.58,16.03,2971.7,326.8,27,21,29.6,0,50.6,32,0,14.5,27,84.5,133,81.6,731,22810,22810
13079,Crawford County,CRAWFORD COUNTY,Georgia,21,257,708,1604,0,1604,1045,470,832,873,873,832,12,8,44,367,1204,0,70,1705,8,12,44,367,1204,0,70,1705,GEORGIA,Crawford County,1301530,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,108.9,103.9,15.66,16.41,252.2,25.9,4.8,1,2,0,3,3,1,4.3,3.5,6,7.5,10,74.3,1705,1705
13081,Crisp County,CRISP COUNTY,Georgia,78,509,2182,3975,0,3975,2440,1107,2024,2058,2058,2024,8,64,206,2348,1346,0,110,4082,64,8,206,2348,1346,0,110,4082,GEORGIA,Crisp County,1301560,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,263.5,257.4,15.49,15.86,607.5,88.6,8.8,3,3,0,6,4,9,9.6,6,14.5,26,23,148.5,4082,4082
13083,Dade County,DADE COUNTY,Georgia,9,375,556,976,241,1217,1266,572,1059,1086,1086,1059,7,21,46,15,2014,0,42,2145,21,7,46,15,2014,0,42,2145,GEORGIA,Dade County,1301590,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,150,149.9,14.3,14.31,307.6,39.5,3.7,2.5,3,0,5.5,4,0,6,3,8.8,11,12.8,63.3,2145,2145
13313,Whitfield County,DALTON PUBLIC SCHOOLS,Georgia,1389,727,2286,4950,787,5737,4698,2268,3909,3990,3990,3909,27,161,5532,363,1614,1,201,7899,161,27,5532,363,1614,1,201,7899,GEORGIA,Dalton Public Schools,1301620,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,556.8,556.9,14.19,14.18,990.2,121.9,14.4,6,9,0,15,12,5,14,10,26,32.5,44.3,138.3,7899,7899
13085,Dawson County,DAWSON COUNTY,Georgia,100,545,445,1193,334,1527,2112,1047,1692,1824,1824,1692,11,22,329,21,3075,0,58,3516,22,11,329,21,3075,0,58,3516,GEORGIA,Dawson County,1301650,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,238.1,235.1,14.77,14.96,522.5,54.6,1.8,4,5,0,9,7,6,11.1,8,22.9,20.5,21,122.5,3516,3516
13087,Decatur County,DECATUR COUNTY,Georgia,189,547,2586,4890,0,4890,2990,1539,2533,2651,2651,2533,2,22,554,2597,1872,3,134,5184,22,2,554,2597,1872,3,134,5184,GEORGIA,Decatur County,1301710,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,322.5,322.5,16.07,16.07,754.4,105,3,6,8,0,14,6.8,9,7.5,7.4,24.4,31,20,203.8,5184,5184
13089,DeKalb County,DEKALB COUNTY,Georgia,14162,10251,37604,69179,3134,72313,61737,27757,48732,51412,51412,48732,309,6688,17917,61861,11252,112,2005,100144,6688,309,17917,61861,11252,112,2005,100144,GEORGIA,DeKalb County,1301740,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,7090,7000.8,14.12,14.3,13993.6,1492.4,257,129.5,145.7,0,275.2,127.4,26.4,89.4,150.1,404.8,496.4,520.9,3063.6,100144,100144
13121,Fulton County,DEPARTMENT OF CORRECTIONS,Georgia,NA,NA,miss,miss,miss,miss,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,GEORGIA,Department of Corrections,1300025,NA,NA,5-State agency providing elementary and/or secondary level instruction,NA,NA,miss,NA,NA,miss,miss,miss,NA,NA,NA,NA,miss,miss,miss,miss,miss,miss,miss,miss,NA,NA
13121,Fulton County,DEPARTMENT OF HUMAN RESOURCES,Georgia,NA,NA,miss,miss,miss,miss,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,GEORGIA,Department of Human Resources,1300027,NA,NA,5-State agency providing elementary and/or secondary level instruction,NA,NA,miss,NA,NA,miss,miss,miss,NA,NA,NA,NA,miss,miss,miss,miss,miss,miss,miss,miss,NA,NA
13089,DeKalb County,DEPARTMENT OF JUVENILE JUSTICE,Georgia,miss,266,45,miss,miss,45,68,436,49,455,455,49,1,4,26,389,77,4,3,504,4,1,26,389,77,4,3,504,GEORGIA,Department of Juvenile Justice,1300026,6th Grade,12th Grade,5-State agency providing elementary and/or secondary level instruction,03-Elementary/secondary school system,53.7,NA,9.39,9.39,121,5,3,0,8,0,8,0,0,15,5,7.3,1,2,21,504,504
13121,Fulton County,DEPARTMENT OF LABOR,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,GEORGIA,Department of Labor,1300028,NA,NA,5-State agency providing elementary and/or secondary level instruction,NA,NA,NA,NA,NA,miss,miss,miss,NA,NA,NA,NA,miss,miss,miss,miss,miss,miss,miss,miss,NA,NA
13091,Dodge County,DODGE COUNTY,Georgia,46,440,735,2555,83,2638,1908,900,1549,1622,1622,1549,5,9,129,1123,1794,2,109,3171,9,5,129,1123,1794,2,109,3171,GEORGIA,Dodge County,1301770,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,211.9,206,14.96,15.39,434.8,62,3,2,4,0,6,5,2,8,5,10.7,14,11.2,96,3171,3171
13093,Dooly County,DOOLY COUNTY,Georgia,103,122,769,777,0,777,753,344,637,637,637,637,3,7,219,903,113,0,29,1274,7,3,219,903,113,0,29,1274,GEORGIA,Dooly County,1301800,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,79.2,NA,16.09,16.09,208.8,21.3,5.7,1.4,1.6,0,3,2,2,7.3,3,6.3,12.8,7,59.2,1274,1274
13095,Dougherty County,DOUGHERTY COUNTY,Georgia,216,1464,7082,3633,0,3633,9238,3811,7152,7397,7397,7152,55,63,378,12983,847,17,206,14549,63,55,378,12983,847,17,206,14549,GEORGIA,Dougherty County,1301830,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,950.2,870.4,15.31,16.72,2150,309,56.1,18.5,16.5,0,35,21,9,26,35,59.2,78,100,471.5,14549,14549
13097,Douglas County,DOUGLAS COUNTY,Georgia,1496,3397,7420,14617,1954,16571,15984,8518,12817,13624,13624,12817,36,332,4225,14121,6487,56,1184,26441,332,36,4225,14121,6487,56,1184,26441,GEORGIA,Douglas County,1301860,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,1669.8,1646.2,15.83,16.06,3414.9,358.5,60.8,22.5,36.5,0,59,38.9,33,23.2,27.3,97,152.2,188.3,706.9,26441,26441
13175,Laurens County,DUBLIN CITY,Georgia,24,264,1144,2381,0,2381,1362,651,1206,1175,1175,1206,0,23,44,2167,95,1,51,2381,23,0,44,2167,95,1,51,2381,GEORGIA,Dublin City,1301870,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,149.3,149.3,15.95,15.95,311.5,38.5,6,1,3,0,4,4,0,10.5,4,8.5,8,20.8,57.9,2381,2381
13099,Early County,EARLY COUNTY,Georgia,7,252,1101,1990,0,1990,1205,633,1006,1046,1046,1006,2,16,54,1437,502,0,41,2052,16,2,54,1437,502,0,41,2052,GEORGIA,Early County,1301920,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,172.8,169.7,11.88,12.09,310.2,20,5.6,2,3.6,0,5.6,3,4,7.6,2,10.1,12,6,61.5,2052,2052
13101,Echols County,ECHOLS COUNTY,Georgia,138,62,437,768,0,768,500,222,406,434,434,406,11,1,386,19,412,0,11,840,1,11,386,19,412,0,11,840,GEORGIA,Echols County,1301950,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,58.8,58.9,14.29,14.26,129.1,20.5,1,1,1,0,2,1,1,2.2,3,2.7,5.6,5,26.3,840,840
13103,Effingham County,EFFINGHAM COUNTY,Georgia,173,1923,2009,3956,935,4891,7375,3471,5964,6417,6417,5964,18,111,899,1902,8879,1,571,12381,111,18,899,1902,8879,1,571,12381,GEORGIA,Effingham County,1301980,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,813.6,787.2,15.22,15.73,1645.5,237.5,24.5,8,15,0,23,15,13,13.6,8.5,41.5,81.5,63.4,310.4,12381,12381
13105,Elbert County,ELBERT COUNTY,Georgia,90,347,1101,2482,64,2546,1810,811,1534,1522,1522,1534,4,23,294,1071,1546,0,118,3056,23,4,294,1071,1546,0,118,3056,GEORGIA,Elbert County,1302010,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,195.1,195.1,15.66,15.66,439.1,76.5,5.5,1,3,0,4,4,3,7.8,3,12.2,21,13.5,93.5,3056,3056
13107,Emanuel County,EMANUEL COUNTY,Georgia,99,567,1928,3839,0,3839,2653,1088,2121,2211,2211,2121,4,30,332,1801,2036,1,128,4332,30,4,332,1801,2036,1,128,4332,GEORGIA,Emanuel County,1302040,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,289.7,287.7,14.95,15.06,622.1,94.4,8.2,4,4,0,8,6.8,5.9,9,5,14,25.1,17.6,138.4,4332,4332
13109,Evans County,EVANS COUNTY,Georgia,211,208,976,1922,0,1922,1167,469,921,1001,1001,921,0,16,488,658,713,0,47,1922,16,0,488,658,713,0,47,1922,GEORGIA,Evans County,1302070,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,114.9,115,16.73,16.71,269.1,29.7,8.2,2,2,0,4,3,0,7.4,2.5,9.8,9.5,10.3,69.8,1922,1922
13111,Fannin County,FANNIN COUNTY,Georgia,42,394,883,1484,300,1784,1798,919,1444,1509,1509,1444,5,14,146,11,2724,3,50,2953,14,5,146,11,2724,3,50,2953,GEORGIA,Fannin County,1302100,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,211.2,211.3,13.98,13.98,475.1,56,7.2,3,3.2,0,6.2,5,3.4,11.1,2,14.8,19.2,27,112,2953,2953
13113,Fayette County,FAYETTE COUNTY,Georgia,755,1995,2765,4188,955,5143,11500,7106,9919,10207,10207,9919,60,1343,2351,5548,9704,25,1095,20126,1343,60,2351,5548,9704,25,1095,20126,GEORGIA,Fayette County,1302130,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,1394.4,1367,14.43,14.72,2646,304,24.5,16.5,33.5,0,50,24,13,14,26,70,118.6,88.4,519.1,20126,20126
13031,Bulloch County,FIRST DISTRICT RESA,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,GEORGIA,First District RESA,1300018,NA,NA,4-Regional Education Service Agency (RESA),07-Educational service agency,24.9,NA,NA,NA,120,32.1,15.4,0,0,0,0,0,0,12.5,11,0,4,7,13.1,NA,NA
13115,Floyd County,FLOYD COUNTY,Georgia,323,1415,3443,6688,0,6688,5776,2853,4702,5095,5095,4702,6,60,984,675,7693,2,377,9797,60,6,984,675,7693,2,377,9797,GEORGIA,Floyd County,1302190,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,684.9,647.1,14.3,15.14,1333.6,164.4,21.9,9,9.6,0,18.6,8,8.8,13,8.4,43,34,57.1,271.5,9797,9797
13117,Forsyth County,FORSYTH COUNTY,Georgia,2878,6079,3407,6506,1059,7568,29761,14263,23157,24575,24575,23157,207,9387,6398,1807,28460,28,1445,47732,9387,207,6398,1807,28460,28,1445,47732,GEORGIA,Forsyth County,1302220,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,2847.8,2822.9,16.76,16.91,5177.2,436,32.7,40.5,56,0,96.5,14.3,22,29.5,46.5,138.9,156,249.4,1107.6,47732,47732
13119,Franklin County,FRANKLIN COUNTY,Georgia,118,509,871,1829,252,2081,2240,1135,1829,1867,1867,1829,3,47,329,370,2803,0,144,3696,47,3,329,370,2803,0,144,3696,GEORGIA,Franklin County,1302250,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,245.7,245.7,15.04,15.04,524.2,65.4,8,3,5,0,8,5,3,8.7,4.1,15.4,21,20.5,119.4,3696,3696
13121,Fulton County,FULTON COUNTY,Georgia,6381,9618,17783,40191,3480,43674,56762,30189,46992,48542,48542,46992,103,10707,14584,40116,27251,53,2720,95534,10707,103,14584,40116,27251,53,2720,95534,GEORGIA,Fulton County,1302280,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,6181.1,6137.2,15.46,15.57,12341.1,1415.9,248.4,61,129.4,0,190.4,92.5,91.9,101,92.5,291,497.2,671.2,2468,95534,95534
13139,Hall County,GAINESVILLE CITY,Georgia,2308,714,731,5538,573,6111,4963,2125,3868,4101,4101,3868,6,259,4845,1466,1180,3,210,7969,259,6,4845,1466,1180,3,210,7969,GEORGIA,Gainesville City,1302310,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,514.5,514.5,15.49,15.49,954.1,102,13,6,8,0,14,8,7.5,13.9,10,29,28,38.5,175.7,7969,7969
13123,Gilmer County,GILMER COUNTY,Georgia,535,380,1463,2422,281,2703,2518,1182,2045,2086,2086,2045,4,12,1132,15,2928,0,40,4131,12,4,1132,15,2928,0,40,4131,GEORGIA,Gilmer County,1302340,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,272,263.9,15.19,15.65,552.6,63.6,7.5,3.5,4.5,0,8,6,4,7.8,6.2,14,20.8,17.2,125.5,4131,4131
13125,Glascock County,GLASCOCK COUNTY,Georgia,3,49,132,289,24,313,306,157,237,302,302,237,0,0,7,40,478,0,14,539,0,0,7,40,478,0,14,539,GEORGIA,Glascock County,1302370,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,40.9,40.8,13.18,13.21,97.6,16.5,1.6,0.3,0.5,0,0.8,0.5,0.5,3.7,0.8,2.2,3.2,4,22.9,539,539
13127,Glynn County,GLYNN COUNTY,Georgia,709,1795,4261,6954,872,7826,8066,3683,6577,6698,6698,6577,36,190,1587,4639,6285,39,499,13275,190,36,1587,4639,6285,39,499,13275,GEORGIA,Glynn County,1302400,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,883,846.6,15.03,15.68,1904.7,260.5,11.4,12.5,15.5,0,28,16,13.5,26.6,14.5,57.1,56,69.5,468.6,13275,13275
13129,Gordon County,GORDON COUNTY,Georgia,340,763,1166,3505,706,4211,3920,2024,3252,3510,3510,3252,19,50,1120,128,5262,2,181,6762,50,19,1120,128,5262,2,181,6762,GEORGIA,Gordon County,1302430,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,453.3,453.3,14.92,14.92,817.2,48,0,6,6,0,12,7.8,1,12.5,7.5,26.3,30.5,30.8,187.5,6762,6762
13131,Grady County,GRADY COUNTY,Georgia,429,511,2367,4236,0,4236,2833,1226,2302,2394,2394,2302,23,16,1032,1569,1946,1,109,4696,16,23,1032,1569,1946,1,109,4696,GEORGIA,Grady County,1302460,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,314.2,312.1,14.95,15.05,643.1,99,7.5,5,4,0,9,7,1,9.8,5,15.1,20.5,20,135,4696,4696
13133,Greene County,GREENE COUNTY,Georgia,114,282,831,1657,68,1725,1520,638,1255,1281,1281,1255,6,30,328,1179,909,1,83,2536,30,6,328,1179,909,1,83,2536,GEORGIA,Greene County,1302490,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,203.1,198.1,12.49,12.8,410.6,50.5,9.5,1.8,2.2,0,4,4.8,5,12.8,6,10.5,14,13.2,77.2,2536,2536
13255,Spalding County,GRIFFIN RESA,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,GEORGIA,Griffin RESA,1300012,NA,NA,4-Regional Education Service Agency (RESA),07-Educational service agency,2,NA,NA,NA,36,0,2.5,0,0,0,0,0,0,12,2,0,6,4,7.5,NA,NA
13255,Spalding County,GRIFFIN-SPALDING COUNTY,Georgia,292,1186,3989,7038,947,7985,6309,2804,5056,5327,5327,5056,30,81,854,4897,4024,6,491,10383,81,30,854,4897,4024,6,491,10383,GEORGIA,Griffin-Spalding County,1302520,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,673.8,650.4,15.41,15.96,1494.1,168.1,33.7,11,14.5,0,25.5,17,3,21.5,27.5,45,62.5,50.3,366.2,10383,10383
13135,Gwinnett County,GWINNETT COUNTY,Georgia,24927,22552,40690,84066,14443,98509,109297,56851,87248,92018,92018,87248,331,18729,54616,57217,41400,173,6800,179266,18729,331,54616,57217,41400,173,6800,179266,GEORGIA,Gwinnett County,1302550,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,11240.6,11144.8,15.95,16.09,20926.1,1808.7,151,136,219.8,0,355.8,137.9,103.9,101,163.7,681.5,1224.3,520.9,4436.8,179266,179266
13137,Habersham County,HABERSHAM COUNTY,Georgia,961,1154,1729,3574,630,4204,4206,1924,3361,3550,3550,3361,6,182,2071,173,4294,1,184,6911,182,6,2071,173,4294,1,184,6911,GEORGIA,Habersham County,1302580,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,485.1,485.2,14.25,14.24,1062.6,128,13.5,7,7,0,14,12,13,11.9,5,27.5,36.5,43.3,272.8,6911,6911
13139,Hall County,HALL COUNTY,Georgia,5198,3468,7490,13651,1877,15528,16653,8547,13357,14076,14076,13357,34,348,11860,1286,13278,22,605,27433,348,34,11860,1286,13278,22,605,27433,GEORGIA,Hall County,1302610,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,1726.8,1727.1,15.89,15.88,3236,364.3,50,19.5,26.5,0,46,32,31.9,15,16,90,108.6,148.5,606.9,27433,27433
13141,Hancock County,HANCOCK COUNTY,Georgia,4,117,459,877,0,877,509,247,414,463,463,414,0,2,7,843,18,1,6,877,2,0,7,843,18,1,6,877,GEORGIA,Hancock County,1302640,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,91,64,9.64,13.7,216.1,17,4.7,1,2,0,3,2,0,7.8,1.4,6,9,10.7,63.5,877,877
13143,Haralson County,HARALSON COUNTY,Georgia,16,569,1454,2107,200,2307,2050,962,1694,1762,1762,1694,5,9,91,80,3126,4,141,3456,9,5,91,80,3126,4,141,3456,GEORGIA,Haralson County,1302670,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,255.7,255.8,13.52,13.51,494.5,70.9,1,4,4,0,8,6,2,7.9,3.5,19.7,17.5,13.5,88.8,3456,3456
13145,Harris County,HARRIS COUNTY,Georgia,21,534,637,1561,421,1982,3027,1691,2569,2725,2725,2569,9,30,281,835,3892,2,245,5294,30,9,281,835,3892,2,245,5294,GEORGIA,Harris County,1302700,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,329,320,16.09,16.54,725.6,108.1,3.5,5,8,0,13,6.8,6,9.9,9,18.1,36,29,157.2,5294,5294
13147,Hart County,HART COUNTY,Georgia,75,458,1179,1831,351,2182,2185,1020,1717,1850,1850,1717,4,42,276,833,2256,0,156,3567,42,4,276,833,2256,0,156,3567,GEORGIA,Hart County,1302730,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,230.2,230.1,15.5,15.5,476.8,48.8,8.5,3,4.5,0,7.5,4.1,0,11.3,2,12.5,20,13,118.9,3567,3567
13149,Heard County,HEARD COUNTY,Georgia,5,310,761,1210,169,1379,1220,618,983,1133,1133,983,3,9,51,180,1764,0,109,2116,9,3,51,180,1764,0,109,2116,GEORGIA,Heard County,1302790,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,135.8,135.8,15.58,15.58,264.2,23.5,1,1,2,0,3,3.8,2,4.5,4.4,10.5,9,8.3,58.4,2116,2116
13091,Dodge County,HEART OF GEORGIA RESA,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,GEORGIA,Heart of Georgia RESA,1300017,NA,NA,4-Regional Education Service Agency (RESA),07-Educational service agency,13,NA,NA,NA,67.5,17,7,0,0,0,0,0,0,5.5,6,0,3,14,2,NA,NA
