LONG_SCHOOL_YEAR,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,LABEL_SORT_ORDER,COMPLETER_TYPE,LABEL_LVL_1_DESC,LABEL_LVL_5_CD,PROGRAM_TOTAL,PROGRAM_PERCENT
2015-16,763,Bremen City,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Native American/ Alaskan Native,,
2015-16,763,Bremen City,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Male,,
2015-16,763,Bremen City,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Female,,
2015-16,763,Bremen City,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Total,,
2015-16,763,Bremen City,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Black,,
2015-16,763,Bremen City,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,White,,
2015-16,763,Bremen City,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Hispanic,,
2015-16,763,Bremen City,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Asian,,
2015-16,763,Bremen City,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Multi,,
2015-16,763,Bremen City,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Native American/ Alaskan Native,,
2015-16,763,Bremen City,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Male,,
2015-16,763,Bremen City,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Female,,
2015-16,763,Bremen City,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Total,,
2015-16,763,Bremen City,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Black,,
2015-16,763,Bremen City,ALL,All Column Values,4,Other Completers,Special Education Diplomas,White,,
2015-16,763,Bremen City,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Hispanic,,
2015-16,763,Bremen City,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Asian,,
2015-16,763,Bremen City,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Multi,,
2015-16,763,Bremen City,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Native American/ Alaskan Native,,
2015-16,763,Bremen City,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Male,,
2015-16,763,Bremen City,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Female,,
2015-16,763,Bremen City,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Total,,
2015-16,763,Bremen City,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Black,,
2015-16,763,Bremen City,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,White,,
2015-16,763,Bremen City,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Hispanic,,
2015-16,763,Bremen City,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Asian,,
2015-16,763,Bremen City,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Multi,,
2015-16,763,Bremen City,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Native American/ Alaskan Native,,
2015-16,764,Buford City,191,Buford High School,0,Graduates,General Education Diplomas,Male,113,43.8
2015-16,764,Buford City,191,Buford High School,0,Graduates,General Education Diplomas,Female,145,56.2
2015-16,764,Buford City,191,Buford High School,0,Graduates,General Education Diplomas,Total,258,100
2015-16,764,Buford City,191,Buford High School,0,Graduates,General Education Diplomas,Black,29,11.2
2015-16,764,Buford City,191,Buford High School,0,Graduates,General Education Diplomas,White,148,57.4
2015-16,764,Buford City,191,Buford High School,0,Graduates,General Education Diplomas,Hispanic,66,25.6
2015-16,764,Buford City,191,Buford High School,0,Graduates,General Education Diplomas,Asian,8,3.1
2015-16,764,Buford City,191,Buford High School,0,Graduates,General Education Diplomas,Multi,7,2.7
2015-16,764,Buford City,191,Buford High School,0,Graduates,General Education Diplomas,Native American/ Alaskan Native,0,0
2015-16,764,Buford City,191,Buford High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Male,,
2015-16,764,Buford City,191,Buford High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Female,,
2015-16,764,Buford City,191,Buford High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Total,,
2015-16,764,Buford City,191,Buford High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Black,,
2015-16,764,Buford City,191,Buford High School,1,Graduates,Diplomas with Both College Prep. & Voc.,White,,
2015-16,764,Buford City,191,Buford High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Hispanic,,
2015-16,764,Buford City,191,Buford High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Asian,,
2015-16,764,Buford City,191,Buford High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Multi,,
2015-16,764,Buford City,191,Buford High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Native American/ Alaskan Native,,
2015-16,764,Buford City,191,Buford High School,2,Graduates,Diplomas with College Prep Endorsements,Male,,
2015-16,764,Buford City,191,Buford High School,2,Graduates,Diplomas with College Prep Endorsements,Female,,
2015-16,764,Buford City,191,Buford High School,2,Graduates,Diplomas with College Prep Endorsements,Total,,
2015-16,764,Buford City,191,Buford High School,2,Graduates,Diplomas with College Prep Endorsements,Black,,
2015-16,764,Buford City,191,Buford High School,2,Graduates,Diplomas with College Prep Endorsements,White,,
2015-16,764,Buford City,191,Buford High School,2,Graduates,Diplomas with College Prep Endorsements,Hispanic,,
2015-16,764,Buford City,191,Buford High School,2,Graduates,Diplomas with College Prep Endorsements,Asian,,
2015-16,764,Buford City,191,Buford High School,2,Graduates,Diplomas with College Prep Endorsements,Multi,,
2015-16,764,Buford City,191,Buford High School,2,Graduates,Diplomas with College Prep Endorsements,Native American/ Alaskan Native,,
2015-16,764,Buford City,191,Buford High School,3,Graduates,Diplomas with Vocational Endorsements,Male,,
2015-16,764,Buford City,191,Buford High School,3,Graduates,Diplomas with Vocational Endorsements,Female,,
2015-16,764,Buford City,191,Buford High School,3,Graduates,Diplomas with Vocational Endorsements,Total,,
2015-16,764,Buford City,191,Buford High School,3,Graduates,Diplomas with Vocational Endorsements,Black,,
2015-16,764,Buford City,191,Buford High School,3,Graduates,Diplomas with Vocational Endorsements,White,,
2015-16,764,Buford City,191,Buford High School,3,Graduates,Diplomas with Vocational Endorsements,Hispanic,,
2015-16,764,Buford City,191,Buford High School,3,Graduates,Diplomas with Vocational Endorsements,Asian,,
2015-16,764,Buford City,191,Buford High School,3,Graduates,Diplomas with Vocational Endorsements,Multi,,
2015-16,764,Buford City,191,Buford High School,3,Graduates,Diplomas with Vocational Endorsements,Native American/ Alaskan Native,,
2015-16,764,Buford City,191,Buford High School,4,Other Completers,Special Education Diplomas,Male,4,66.7
2015-16,764,Buford City,191,Buford High School,4,Other Completers,Special Education Diplomas,Female,,
2015-16,764,Buford City,191,Buford High School,4,Other Completers,Special Education Diplomas,Total,6,100
2015-16,764,Buford City,191,Buford High School,4,Other Completers,Special Education Diplomas,Black,,
2015-16,764,Buford City,191,Buford High School,4,Other Completers,Special Education Diplomas,White,,
2015-16,764,Buford City,191,Buford High School,4,Other Completers,Special Education Diplomas,Hispanic,,
2015-16,764,Buford City,191,Buford High School,4,Other Completers,Special Education Diplomas,Asian,,
2015-16,764,Buford City,191,Buford High School,4,Other Completers,Special Education Diplomas,Multi,,
2015-16,764,Buford City,191,Buford High School,4,Other Completers,Special Education Diplomas,Native American/ Alaskan Native,,
2015-16,764,Buford City,191,Buford High School,5,Other Completers,Certificates Of Attendance,Male,,
2015-16,764,Buford City,191,Buford High School,5,Other Completers,Certificates Of Attendance,Female,,
2015-16,764,Buford City,191,Buford High School,5,Other Completers,Certificates Of Attendance,Total,,
2015-16,764,Buford City,191,Buford High School,5,Other Completers,Certificates Of Attendance,Black,,
2015-16,764,Buford City,191,Buford High School,5,Other Completers,Certificates Of Attendance,White,,
2015-16,764,Buford City,191,Buford High School,5,Other Completers,Certificates Of Attendance,Hispanic,,
2015-16,764,Buford City,191,Buford High School,5,Other Completers,Certificates Of Attendance,Asian,,
2015-16,764,Buford City,191,Buford High School,5,Other Completers,Certificates Of Attendance,Multi,,
2015-16,764,Buford City,191,Buford High School,5,Other Completers,Certificates Of Attendance,Native American/ Alaskan Native,,
2015-16,764,Buford City,ALL,All Column Values,0,Graduates,General Education Diplomas,Male,113,43.8
2015-16,764,Buford City,ALL,All Column Values,0,Graduates,General Education Diplomas,Female,145,56.2
2015-16,764,Buford City,ALL,All Column Values,0,Graduates,General Education Diplomas,Total,258,100
2015-16,764,Buford City,ALL,All Column Values,0,Graduates,General Education Diplomas,Black,29,11.2
2015-16,764,Buford City,ALL,All Column Values,0,Graduates,General Education Diplomas,White,148,57.4
2015-16,764,Buford City,ALL,All Column Values,0,Graduates,General Education Diplomas,Hispanic,66,25.6
2015-16,764,Buford City,ALL,All Column Values,0,Graduates,General Education Diplomas,Asian,8,3.1
2015-16,764,Buford City,ALL,All Column Values,0,Graduates,General Education Diplomas,Multi,7,2.7
2015-16,764,Buford City,ALL,All Column Values,0,Graduates,General Education Diplomas,Native American/ Alaskan Native,0,0
2015-16,764,Buford City,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Male,,
2015-16,764,Buford City,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Female,,
2015-16,764,Buford City,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Total,,
2015-16,764,Buford City,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Black,,
2015-16,764,Buford City,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,White,,
2015-16,764,Buford City,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Hispanic,,
2015-16,764,Buford City,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Asian,,
2015-16,764,Buford City,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Multi,,
2015-16,764,Buford City,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Native American/ Alaskan Native,,
2015-16,764,Buford City,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Male,,
2015-16,764,Buford City,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Female,,
2015-16,764,Buford City,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Total,,
2015-16,764,Buford City,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Black,,
2015-16,764,Buford City,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,White,,
2015-16,764,Buford City,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Hispanic,,
2015-16,764,Buford City,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Asian,,
2015-16,764,Buford City,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Multi,,
2015-16,764,Buford City,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Native American/ Alaskan Native,,
2015-16,764,Buford City,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Male,,
2015-16,764,Buford City,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Female,,
2015-16,764,Buford City,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Total,,
2015-16,764,Buford City,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Black,,
2015-16,764,Buford City,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,White,,
2015-16,764,Buford City,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Hispanic,,
2015-16,764,Buford City,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Asian,,
2015-16,764,Buford City,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Multi,,
2015-16,764,Buford City,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Native American/ Alaskan Native,,
2015-16,764,Buford City,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Male,4,66.7
2015-16,764,Buford City,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Female,,
2015-16,764,Buford City,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Total,6,100
2015-16,764,Buford City,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Black,,
2015-16,764,Buford City,ALL,All Column Values,4,Other Completers,Special Education Diplomas,White,,
2015-16,764,Buford City,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Hispanic,,
2015-16,764,Buford City,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Asian,,
2015-16,764,Buford City,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Multi,,
2015-16,764,Buford City,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Native American/ Alaskan Native,,
2015-16,764,Buford City,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Male,,
2015-16,764,Buford City,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Female,,
2015-16,764,Buford City,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Total,,
2015-16,764,Buford City,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Black,,
2015-16,764,Buford City,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,White,,
2015-16,764,Buford City,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Hispanic,,
2015-16,764,Buford City,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Asian,,
2015-16,764,Buford City,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Multi,,
2015-16,764,Buford City,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Native American/ Alaskan Native,,
2015-16,765,Calhoun City,3050,Calhoun High School,0,Graduates,General Education Diplomas,Male,119,49
2015-16,765,Calhoun City,3050,Calhoun High School,0,Graduates,General Education Diplomas,Female,124,51
2015-16,765,Calhoun City,3050,Calhoun High School,0,Graduates,General Education Diplomas,Total,243,100
2015-16,765,Calhoun City,3050,Calhoun High School,0,Graduates,General Education Diplomas,Black,20,8.2
2015-16,765,Calhoun City,3050,Calhoun High School,0,Graduates,General Education Diplomas,White,140,57.6
2015-16,765,Calhoun City,3050,Calhoun High School,0,Graduates,General Education Diplomas,Hispanic,74,30.5
2015-16,765,Calhoun City,3050,Calhoun High School,0,Graduates,General Education Diplomas,Asian,5,2.1
2015-16,765,Calhoun City,3050,Calhoun High School,0,Graduates,General Education Diplomas,Multi,4,1.6
